symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,volume_contracts,oi_chg_pct,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
HDFCAMC,2026-08-25,2026-08-13,2499.6,2501.0,-0.06,7239300,177600,1284,2.51,Neutral,Weak,HDFC AMC,Financial Services,large,False,False,True,False,,
HDFCBANK,2026-08-25,2026-08-13,729.9,733.0,-0.42,316305600,1456650,15985,0.46,Neutral,Weak,HDFC Bank,Banking,large,True,True,False,False,,
HDFCLIFE,2026-08-25,2026-08-13,539.25,537.45,0.33,49090800,-151800,1907,-0.31,Neutral,Weak,HDFC Life,Financial Services,large,True,False,False,False,,
HEROMOTOCO,2026-08-25,2026-08-13,5855.0,5886.0,-0.53,4083900,-222000,3419,-5.16,Neutral,Weak,Hero MotoCorp,Automobile,large,False,False,False,False,,
HINDALCO,2026-08-25,2026-08-13,1044.8,1077.4,-3.03,45275300,-362600,8090,-0.79,Neutral,Weak,Hindalco Industries,Metals & Mining,large,True,False,False,False,,
HINDUNILVR,2026-08-25,2026-08-13,2091.6,2063.5,1.36,14187900,-204600,2803,-1.42,Neutral,Weak,Hindustan Unilever,Consumer Goods,large,True,False,False,False,,
ICICIBANK,2026-08-25,2026-08-13,1415.9,1429.7,-0.97,91928200,-1683500,7656,-1.8,Neutral,Weak,ICICI Bank,Banking,large,True,True,False,False,,
ICICIGI,2026-08-25,2026-08-13,1628.7,1636.5,-0.48,5532150,52975,549,0.97,Neutral,Weak,ICICI Lombard,Financial Services,large,False,False,True,False,,
ICICIPRULI,2026-08-25,2026-08-13,507.05,502.95,0.82,17743350,-39775,1272,-0.22,Neutral,Weak,ICICI Prudential Life,Financial Services,large,False,False,False,False,,
IDFCFIRSTB,2026-08-25,2026-08-13,86.94,85.96,1.14,348471025,-3960425,2418,-1.12,Neutral,Weak,IDFC First Bank,Banking,mid,False,True,False,False,,
IEX,2026-08-25,2026-08-13,125.82,125.22,0.48,71627100,-82650,294,-0.12,Neutral,Weak,Indian Energy Exchange,Financial Services,mid,False,False,True,False,,
INDHOTEL,2026-08-25,2026-08-13,725.1,723.85,0.17,20845000,25000,1446,0.12,Neutral,Weak,Indian Hotels,Consumer Goods,mid,False,False,True,False,,
INDIANB,2026-08-25,2026-08-13,894.95,895.0,-0.01,11284000,50000,1258,0.45,Neutral,Weak,Indian Bank,Banking,mid,False,False,False,False,,
INDIGO,2026-08-25,2026-08-13,5361.5,5329.0,0.61,5347800,28200,1600,0.53,Neutral,Weak,IndiGo,Consumer Goods,large,True,False,False,False,,
INDUSINDBK,2026-08-25,2026-08-13,1024.8,1023.2,0.16,33037200,-196000,1155,-0.59,Neutral,Weak,IndusInd Bank,Banking,large,False,True,False,False,,
INDUSTOWER,2026-08-25,2026-08-13,384.05,384.2,-0.04,92957700,-465800,2874,-0.5,Neutral,Weak,Indus Towers,Telecom,large,False,False,True,False,,
INFY,2026-08-25,2026-08-13,1174.6,1177.4,-0.24,81946000,533600,12320,0.66,Neutral,Weak,Infosys,Information Technology,large,True,False,False,False,,
IOC,2026-08-25,2026-08-13,140.21,140.13,0.06,155970750,-711750,880,-0.45,Neutral,Weak,Indian Oil Corporation,Oil & Gas,large,False,False,True,False,,
IREDA,2026-08-25,2026-08-13,116.29,115.62,0.58,84689900,149325,997,0.18,Neutral,Weak,IREDA,Financial Services,mid,False,False,False,False,,
IRFC,2026-08-25,2026-08-13,88.74,88.31,0.49,91747600,-1312850,701,-1.41,Neutral,Weak,IRFC,Financial Services,large,False,False,True,False,,
ITC,2026-08-25,2026-08-13,278.65,277.5,0.41,158496450,-790050,4013,-0.5,Neutral,Weak,ITC,Consumer Goods,large,True,False,False,False,,
